time/total_timesteps,train/learning_rate,time/fps,train/n_updates,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,time/episodes,eval/mean_ep_length,eval/mean_reward
63630,0.001,112,63476,184.42711329999997,1.220809070393443,127.27,-29.096564292907715,566,636,,
64000,0.001,,63863,,1.1826592822005784,,-29.164022031037703,,,126.3,183.39368431568147
64156,0.001,112,63995,184.60375771,1.2055307820890888,127.42,-29.057219909899164,572,640,,
64669,0.001,112,64503,184.58246135000002,1.2329317722164217,127.4,-29.094458783259157,576,644,,
65000,0.001,,64903,,1.2244686328653078,,-28.92647247883811,,,126.3,183.39368431568147
65181,0.001,111,65024,184.61793317999997,1.2596285190464052,127.42,-28.899336674174325,582,648,,
65693,0.001,112,65540,184.69050440999993,1.2614850767634131,127.48,-28.938809221441094,586,652,,
66000,0.001,,65920,,1.2536992680641912,,-29.027639019873835,,,126.3,183.39368431568147
66214,0.001,111,66050,184.92098888999996,1.2131365102071028,127.65,-28.864489716749926,591,656,,
66720,0.001,112,66562,184.82910695,1.2233730325698853,127.59,-28.91906856355213,595,660,,
67000,0.001,,66959,,1.2123349248934134,,-29.01137017512667,,,126.3,183.39368431568147
67253,0.001,111,67090,185.11646930999999,1.2330985660771376,127.82,-28.856742425398394,601,664,,
67746,0.001,111,67598,184.80799685000002,1.245224219607556,127.57,-29.021339297294617,605,668,,
68000,0.001,,67963,,1.2558327277829824,,-28.940949980417887,,,126.3,183.39368431568147
68244,0.001,111,68089,184.63346724000002,1.2632314567528073,127.43,-28.997844756595672,610,672,,
68757,0.001,111,68601,184.62260553,1.2473016800358891,127.42,-28.948005348443985,614,676,,
69000,0.001,,68856,,1.2149652963460877,,-28.83785526569073,,,126.3,183.39368431568147
69261,0.001,111,69106,184.61283003999998,1.2524614240974188,127.41,-28.750632852315903,620,680,,
69782,0.001,111,69618,184.77030656000002,1.2223523977234607,127.54,-28.726495146751404,623,684,,
70000,0.001,,69883,,1.2566795244471718,,-28.872651584331805,,,126.3,183.39368431568147
70296,0.001,111,70141,184.89160251,1.2218551589892461,127.62,-28.758469566932092,629,688,,
70809,0.001,111,70656,184.99825618,1.249750656741006,127.71,-28.589919987009534,633,692,,
71000,0.001,,70905,,1.272686603523436,,-28.860661794268896,,,126.3,183.39368431568147
71325,0.001,111,71162,185.16099789,1.2780168842185626,127.85,-28.933013106837418,639,696,,
71835,0.001,111,71683,185.32313274,1.2939410741512591,127.98,-28.483146403386044,643,700,,
72000,0.001,,71934,,1.2679724000221075,,-28.732857924241287,,,126.3,183.39368431568147
72334,0.001,111,72177,185.21146476999994,1.2328341088294983,127.91,-28.436630033677623,648,704,,
72843,0.001,111,72682,185.27761798000003,1.232554039478302,127.95,-28.82861228216262,652,708,,
73000,0.001,,72944,,1.2189265148330282,,-28.92767333984375,,,126.3,183.39368431568147
73369,0.001,111,73208,185.36864415999997,1.2667623776942492,128.03,-28.548685252666473,658,712,,
73884,0.001,111,73721,185.35637139,1.2654490201246171,128.04,-28.55488507709806,662,716,,
74000,0.001,,73854,,1.2197596022957249,,-28.653643622327206,,,126.3,183.39368431568147
74395,0.001,111,74238,185.32646111999998,1.2850169613957405,128.01,-28.590487893422445,668,720,,
74903,0.001,111,74747,185.39689777999996,1.249818046276386,128.06,-28.51017315204327,672,724,,
75000,0.001,,74873,,1.2920694862093245,,-28.555547865610276,,,126.3,183.39368431568147
75419,0.001,111,75250,185.48825775999998,1.2560310016890042,128.12,-28.591982419373558,677,728,,
75933,0.001,111,75773,185.43554674000004,1.2601620625881922,128.07,-28.824404852730886,681,732,,
76000,0.001,,75903,,1.2291377154680398,,-28.543640929002027,,,126.3,183.39368431568147
76431,0.001,111,76277,185.36683308999997,1.2100518075749278,128.01,-28.62458437681198,687,736,,
76938,0.001,111,76783,185.13960645000003,1.2412250199317931,127.82,-28.61398152382143,691,740,,
77000,0.001,,76908,,1.263903687477112,,-28.461490116422137,,,126.3,183.39368431568147
77446,0.001,111,77296,185.08467988,1.3108906476270585,127.77,-28.33759377494691,696,744,,
77965,0.001,111,77804,185.17068687,1.2433292890383192,127.84,-28.254481018566693,700,748,,
78000,0.001,,77935,,1.2419397867362918,,-28.436181141779972,,,126.3,183.39368431568147
