time/total_timesteps,train/actor_loss,train/learning_rate,time/fps,time/episodes,train/n_updates,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward
135230,-86.33260250091553,0.001,140,1592,135103,7.080947724481423,962,232.48582271000004,100.25,,
135650,-86.20496218812232,0.001,140,1596,135521,11.181066344766055,965,232.63057592999996,100.42,,
136000,-86.5677815651407,0.001,,,135922,5.086828075733381,,,,97.8,231.219004458189
136046,,,140,1600,,,968,232.54563657999995,100.36,,
136437,-86.55005804697673,0.001,140,1604,136313,13.696461240040888,971,232.51840153,100.29,,
136838,-86.32378814697266,0.001,140,1608,136711,9.489622151255608,974,232.45738523999998,100.25,,
137000,-86.90061172485352,0.001,,,136911,5.960726260542869,,,,97.6,229.76759938597678
137235,-87.1946880864162,0.001,140,1612,137108,7.173793294642231,978,232.35106542999998,100.18,,
137631,-87.12851263552295,0.001,140,1616,137504,11.592464377685468,981,232.22939484000003,100.11,,
138000,-86.7654800415039,0.001,,,137900,3.884793139610094,,,,97.1,229.25534189343452
138025,,,140,1620,,,984,232.11713727000003,100.02,,
138426,-86.5952814841757,0.001,140,1624,138298,6.1195448904621355,987,232.2208231,100.04,,
138829,-86.41168838500977,0.001,140,1628,138701,5.362802723256668,990,232.4429272,100.08,,
139000,-86.073060428395,0.001,,,138905,3.807277132585211,,,,100.5,236.24947377443314
139234,-86.70125729429955,0.001,140,1632,139106,6.545931699229222,994,232.46094494000005,100.09,,
139637,-87.26528778076172,0.001,140,1636,139508,6.130689846873284,997,232.33936590999997,100.07,,
140000,-86.82701380112591,0.001,,,139915,4.530014236183727,,,,100.0,233.2395909488201
140043,,,139,1640,,,1000,233.46625029999998,100.44,,
140451,-87.05555021996592,0.001,140,1644,140322,6.3632469469425725,1003,233.65102136999997,100.51,,
140856,-86.79788986206054,0.001,140,1648,140729,6.782909477701281,1005,233.72933031999997,100.54,,
141000,-87.10334821847769,0.001,,,140932,8.728914609233152,,,,100.2,235.26966102719308
141262,-86.24792285993988,0.001,139,1652,141134,3.870946126409096,1009,233.79465444,100.57,,
141668,-86.40871608958525,0.001,139,1656,141540,11.059859710754735,1011,233.93764739000002,100.6,,
142000,-86.90051773071289,0.001,,,141945,11.397245081067085,,,,102.0,237.02190691828727
142074,,,139,1660,,,1015,234.02172534000002,100.57,,
142481,-87.26617207246669,0.001,139,1664,142352,10.163234351885201,1017,234.26234896000003,100.61,,
142886,-86.23368790570427,0.001,139,1668,142757,12.164125250381174,1020,234.52326906000002,100.65,,
143000,-86.66767269957299,0.001,,,142960,10.489937483674229,,,,101.5,235.71942551136016
143293,-86.19562321083218,0.001,139,1672,143165,3.5992048081842443,1024,234.75221014000002,100.7,,
143697,-86.90543320599724,0.001,139,1676,143570,6.164573398290896,1027,234.78110660000004,100.72,,
144000,-87.13537246704101,0.001,,,143873,11.167690592237038,,,,100.9,236.38694727420807
144102,-86.49702902401195,0.001,139,1680,143975,7.681541513578565,1032,234.76715674000008,100.72,,
144502,-86.83418838500977,0.001,139,1684,144374,10.006276783919093,1036,234.67081771000002,100.68,,
144905,-85.79103956035539,0.001,139,1688,144778,9.49877432903441,1040,234.77732031000002,100.72,,
145000,-87.43167236328125,0.001,,,144878,5.654323758482933,,,,101.0,235.6432696700096
145307,-87.13621209592236,0.001,138,1692,145179,10.060358397286347,1046,235.0158,100.77,,
145711,-87.04754104614258,0.001,138,1696,145583,3.9218050903081894,1050,234.91386583,100.61,,
146000,-86.80320799584483,0.001,,,145888,7.6474143302086555,,,,101.0,235.649826079607
146118,-86.71723693847656,0.001,138,1700,145989,7.529346191056884,1055,235.14637887,100.72,,
146521,-86.61623413085937,0.001,138,1704,146392,10.562253370285035,1058,235.37037081999998,100.84,,
146927,-86.7376070209578,0.001,138,1708,146798,12.042700172650932,1062,235.53257719,100.89,,
147000,-87.16121194876877,0.001,,,146900,3.926902468882355,,,,100.9,237.0829805791378
147330,-87.05358796961167,0.001,138,1712,147202,8.73873225415107,1067,235.66886750999998,100.95,,
147738,-86.81742664411956,0.001,138,1716,147609,7.7202818417081644,1070,235.96800769000004,101.07,,
148000,-88.13385284423828,0.001,,,147913,6.8444539892791525,,,,100.8,235.93006573319434
