train/learning_rate,train/actor_loss,time/total_timesteps,train/n_updates,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/fps,eval/mean_ep_length,eval/mean_reward
0.001,-8.353992557525634,68626,68487,1324,39.06545536,421,0.22316174522042276,50.78,162,,
0.001,-8.198140048980713,68829,68688,1328,39.067864390000004,422,0.19842770129442214,50.79,162,,
0.001,-8.219203452269236,69000,68893,,,,0.19304309481260729,,,50.2,38.55887085199356
,,69034,,1332,39.09725056,424,,50.79,162,,
0.001,-8.270564794540405,69238,69097,1336,39.04469108,425,0.20383994195323724,50.76,162,,
0.001,-8.181569652557373,69436,69296,1340,38.84460543,426,0.20924672089060958,50.68,162,,
0.001,-8.298147880114042,69642,69503,1344,38.841984350000004,427,0.21920407764040506,50.68,162,,
0.001,-8.179545459747315,69847,69707,1348,38.941296019999996,429,0.2250854067504406,50.73,162,,
0.001,-8.324466742002047,70000,69865,,,,0.19657384365234734,,,50.2,38.55887085199356
0.001,-8.3358756920387,70062,69922,1352,39.07213532,430,0.19130267869485051,50.83,162,,
0.001,-8.329436620076498,70265,70128,1356,39.039714610000004,431,0.19495455021003508,50.84,162,,
0.001,-8.205767778249887,70472,70332,1360,39.161112640000006,433,0.22419269411609724,50.89,162,,
0.001,-8.247285277755172,70680,70540,1364,39.33134887,434,0.20876859638977935,50.96,162,,
0.001,-8.266087249473289,70894,70754,1368,39.46855421,435,0.19719393965270784,51.07,162,,
0.001,-8.3039621756627,71000,70907,,,,0.2106549246953084,,,50.2,38.55887085199356
0.001,-8.193502502441406,71095,70957,1372,39.46855015999999,436,0.23364072412252426,51.05,162,,
0.001,-8.278790871302286,71296,71158,1376,39.46103416,438,0.2099018592076997,51.04,162,,
0.001,-8.250591945648193,71501,71362,1380,39.54601349,439,0.184349174402198,51.07,162,,
0.001,-8.255466864659237,71707,71568,1384,39.55888833,440,0.19151975039173574,51.07,162,,
0.001,-8.45276611328125,71909,71768,1388,39.58730903,441,0.19483637171132223,51.09,162,,
0.001,-8.315763187408447,72000,71871,,,,0.19617054149508475,,,50.2,38.55887085199356
0.001,-8.173926373322805,72107,71967,1392,39.56960966,442,0.1900681181221592,51.05,162,,
0.001,-8.234870048669668,72307,72169,1396,39.52883299,444,0.2657808316155122,51.04,162,,
0.001,-8.382066268187303,72513,72374,1400,39.6883546,445,0.20785437610286933,51.13,162,,
0.001,-8.273422938126783,72719,72578,1404,39.74011354999999,446,0.1846947950475356,51.15,162,,
0.001,-8.337636311848959,72921,72784,1408,39.577778329999994,447,0.17904312824303248,51.03,163,,
0.001,-8.209954940355741,73000,72884,,,,0.19026919527381075,,,50.2,38.55887085199356
0.001,-8.532345394293467,73122,72981,1412,39.59396162,448,0.21074453291172782,51.02,162,,
0.001,-8.1652361869812,73328,73187,1416,39.72483299,449,0.2552465895811717,51.07,162,,
0.001,-8.424950778484344,73530,73391,1420,39.75720034999999,451,0.19245815550794407,51.07,162,,
0.001,-8.166406288146973,73730,73594,1424,39.6867665,452,0.23159161270881184,51.04,162,,
0.001,-8.109258460998536,73934,73794,1428,39.726557150000005,453,0.18978395328229788,51.05,162,,
0.001,-8.21582684914271,74000,73894,,,,0.2038128109027942,,,50.2,38.55887085199356
0.001,-8.27674730007465,74136,73997,1432,39.68302886,455,0.1896988689326323,51.02,162,,
0.001,-8.271564446962797,74339,74200,1436,39.68352247000001,456,0.20035636711579102,51.01,162,,
0.001,-8.181252002716064,74543,74404,1440,39.834196320000004,457,0.19748292997479439,51.07,162,,
0.001,-8.103589782714844,74743,74605,1444,39.72528903,458,0.1989216673374176,51.01,162,,
0.001,-8.156595835318932,74948,74809,1448,39.721541249999994,459,0.19332206924006623,51.01,163,,
0.001,-8.269802868366241,75000,74909,,,,0.1927857987430631,,,50.2,38.55887085199356
0.001,-8.220152338345846,75145,75005,1452,39.46366276,461,0.21885511735264135,50.83,162,,
0.001,-8.331804715670073,75348,75210,1456,39.46619774999999,462,0.20008524419630275,50.83,162,,
0.001,-8.352798767089844,75547,75408,1460,39.27472357999999,463,0.19432864839933356,50.75,162,,
0.001,-8.387511510115404,75755,75615,1464,39.28286208,464,0.19052566272708085,50.75,162,,
0.001,-8.46177027775691,75961,75823,1468,39.213929660000005,466,0.18937540312226003,50.67,162,,
0.001,-8.250635871887207,76000,75873,,,,0.17192423686385155,,,50.2,38.55887085199356
0.001,-8.132482216908382,76162,76024,1472,39.20878903,467,0.16487028405946844,50.67,162,,
0.001,-8.387420196533203,76363,76225,1476,39.20627468,468,0.1913428765301611,50.67,162,,
0.001,-8.219094064500597,76573,76430,1480,39.26308182,469,0.18062059047087184,50.72,162,,
0.001,-8.356324902287236,76781,76642,1484,39.28539641,471,0.1936125690644642,50.74,162,,
0.001,-8.148325525481125,76989,76850,1488,39.32095801,472,0.18443320613158376,50.8,163,,
0.001,-8.20022144317627,77000,76901,,,,0.2016076419283362,,,50.2,38.55887085199356
0.001,-8.330704597326426,77201,77061,1492,39.502292110000006,473,0.1831207420103825,50.94,162,,
0.001,-8.285728383947301,77409,77268,1496,39.65262874,474,0.23458078616070296,51.02,163,,
0.001,-8.162331122618456,77612,77473,1500,39.61704823,476,0.21053440009172147,50.99,163,,
0.001,-8.303482954318707,77815,77676,1504,39.58776025,477,0.1849693455824665,50.96,163,,
0.001,-8.240475038687388,78000,77875,,,,0.24406891954796656,,,50.2,38.55887085199356
,,78014,,1508,39.54175217,478,,50.93,162,,
0.001,-8.164580146471659,78217,78079,1512,39.57962386,479,0.1769844628110224,50.95,162,,
0.001,-8.228834052880606,78414,78276,1516,39.40377834,481,0.1924779030183951,50.86,162,,
0.001,-8.37303275328416,78617,78480,1520,39.426535720000004,482,0.20842253080770082,50.87,163,,
0.001,-8.301667745296772,78827,78686,1524,39.607332490000005,486,0.19650899504239744,50.97,162,,
0.001,-8.258414134979247,79000,78892,,,,0.18073750853538514,,,50.2,38.55887085199356
,,79029,,1528,39.56091440000001,492,,50.95,160,,
0.001,-8.333385887145996,79233,79096,1532,39.5763186,494,0.18644731238484383,50.97,160,,
0.001,-8.29811978340149,79431,79295,1536,39.44864149,496,0.2000933041652808,50.92,160,,
0.001,-8.144005241394042,79631,79494,1540,39.32797192,497,0.2025525165455682,50.88,160,,
0.001,-8.615185455039695,79839,79700,1544,39.46976887,498,0.21050383122462146,50.96,160,,
0.001,-8.41538610458374,80000,79903,,,,0.17426015159078673,,,50.2,38.55887085199356
,,80044,,1548,39.47537136,500,,50.96,159,,
0.001,-8.60452989578247,80249,80109,1552,39.651450589999996,502,0.2275827240710165,51.04,159,,
0.001,-8.327414219196026,80450,80314,1556,39.62887746,503,0.19018438573067004,51.02,159,,
0.001,-8.469402845089252,80650,80514,1560,39.65157943,504,0.18785398190512376,51.03,159,,
0.001,-8.360092983245849,80850,80712,1564,39.48691893,506,0.18762011491522498,50.95,159,,
0.001,-8.470137596130371,81000,80864,,,,0.19706783902186614,,,50.2,38.55887085199356
0.001,-8.325001319249472,81053,80913,1568,39.43504073,507,0.1783594892037158,50.92,159,,
0.001,-8.581672210693359,81257,81116,1572,39.47565184999999,509,0.21994489431381226,50.95,159,,
0.001,-8.553173502286276,81458,81319,1576,39.45300384000001,510,0.19926628044673375,50.95,159,,
0.001,-8.54358458518982,81657,81519,1580,39.30377885,511,0.2047891227566466,50.84,159,,
0.001,-8.329429893493652,81861,81723,1584,39.21172192,513,0.17733973145484924,50.8,159,,
0.001,-8.390754165649414,82000,81875,,,,0.179166339635849,,,50.2,38.55887085199356
0.001,-8.417398452758789,82063,81925,1588,39.15126368,515,0.18026067823171615,50.74,159,,
0.001,-8.392219543457031,82273,82132,1592,39.101955860000004,516,0.19148314044791825,50.72,159,,
0.001,-8.560260560777452,82481,82342,1596,39.120649560000004,517,0.18943191783608132,50.72,159,,
0.001,-8.146791017972506,82687,82550,1600,39.14201128000001,519,0.202687346321695,50.75,159,,
0.001,-8.489867925643921,82891,82752,1604,39.14684427,520,0.20185400428725223,50.76,159,,
0.001,-8.260602345833412,83000,82909,,,,0.19874769519522506,,,50.2,38.55887085199356
0.001,-8.250736980438232,83098,82958,1608,39.28302387,522,0.19500136284195646,50.84,159,,
0.001,-8.344977815945944,83297,83157,1612,39.198429850000004,523,0.20113604667843604,50.8,159,,
0.001,-8.420357685089112,83507,83362,1616,39.33681514,525,0.20751516368924355,50.93,159,,
0.001,-8.316312313079834,83713,83572,1620,39.350326020000004,526,0.19753059834241868,50.96,159,,
0.001,-8.226102237701417,83916,83777,1624,39.231564049999996,527,0.19312436265103958,50.89,159,,
0.001,-8.368439853191376,84000,83877,,,,0.1887607848157688,,,50.2,38.55887085199356
0.001,-8.34833183655372,84120,83980,1628,39.283387309999995,529,0.19515776132734922,50.91,158,,
0.001,-8.367371501922607,84323,84182,1632,39.248898190000006,530,0.18435622873354932,50.9,158,,
0.001,-8.408113578955332,84523,84383,1636,39.2679243,531,0.23871967302901403,50.92,158,,
0.001,-8.437742290496827,84726,84589,1640,39.350437840000005,533,0.17983636610648213,50.95,158,,
0.001,-8.180147684537447,84929,84790,1644,39.283707529999994,534,0.19182602488077605,50.9,158,,
0.001,-8.387742629418007,85000,84893,,,,0.19345195591449738,,,50.2,38.55887085199356
0.001,-8.363831539948782,85128,84990,1648,39.12420631,535,0.1823028107173741,50.84,158,,
0.001,-8.295948390960694,85332,85192,1652,39.080539640000005,536,0.20805815713746206,50.83,158,,
0.001,-8.614304721355438,85532,85392,1656,39.07994061,537,0.22873364832807094,50.82,158,,
0.001,-8.372940210195688,85733,85594,1660,39.109883249999996,539,0.20750749549444983,50.83,159,,
0.001,-8.433816415922982,85941,85802,1664,39.228635080000004,540,0.19172018522566014,50.91,159,,
0.001,-8.399824325854961,86000,85905,,,,0.21395114665994278,,,50.2,38.55887085199356
0.001,-8.367591802890484,86147,86008,1668,39.30363723,541,0.19144049057593712,50.94,158,,
0.001,-8.248296921069805,86347,86209,1672,39.222372850000006,543,0.18761305840542683,50.9,158,,
0.001,-8.433746814727783,86547,86408,1676,39.21123028,544,0.18741933225343624,50.89,158,,
0.001,-8.379012914804312,86752,86615,1680,39.287201759999995,545,0.1746285892320129,50.95,159,,
0.001,-8.394996789785532,86959,86821,1684,39.35813701,546,0.19227741391591305,50.98,159,,
0.001,-8.500232124328614,87000,86871,,,,0.18468265146017074,,,50.2,38.55887085199356
0.001,-8.317785464800322,87163,87024,1688,39.465835899999995,548,0.19040993995526256,51.0,158,,
0.001,-8.30557131767273,87370,87229,1692,39.508574540000005,549,0.19658179280276483,50.97,158,,
0.001,-8.367480699832623,87574,87436,1696,39.4289423,550,0.20665717038970727,50.93,159,,
0.001,-8.398180209673368,87789,87644,1700,39.464560510000005,552,0.21213117884654625,51.02,159,,
0.001,-8.319552861727201,87992,87855,1704,39.42679674000001,553,0.198313056298022,51.01,159,,
0.001,-8.341146678924561,88000,87904,,,,0.22849862535997312,,,50.2,38.55887085199356
0.001,-8.40732191159175,88197,88058,1708,39.43121848,554,0.18537798260941224,50.99,158,,
0.001,-8.384605205976046,88408,88266,1712,39.60981821,556,0.1940600667514053,51.11,158,,
0.001,-8.12105936050415,88612,88475,1716,39.579687400000005,557,0.19548832552105772,51.05,158,,
