rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
94.95,127,320,187.14868244000002,20402,160,0.001,4.606514107320726,20230,-48.07504544939314,,
95.38,129,324,188.91004834999995,20793,160,0.001,6.127084734513588,20618,-48.340779207190685,,
,,,,21000,,0.001,5.079265510913023,20911,-48.33891034126282,216.98658539056777,99.5
95.96,132,328,191.04214412999994,21190,159,0.001,6.472294661998749,21011,-49.13831871032715,,
96.45,134,332,192.64623296000005,21580,159,0.001,5.482564303749486,21408,-48.634222666422524,,
97.13,137,336,195.1287448500001,21984,160,0.001,6.735144612789154,21804,-48.83396713256836,,
,,,,22000,,0.001,7.381617485330655,21908,-48.87429053966816,213.90948211550713,98.4
97.76,140,340,197.50559800000002,22393,159,0.001,6.166664774601276,22213,-49.81715261019193,,
98.7,142,344,201.39602047999998,22832,160,0.001,6.366510274275294,22640,-49.528907775878906,,
,,,,23000,,0.001,6.360235106711294,22858,-49.324781904033586,270.7000573992729,111.9
99.51,145,348,204.60586506000007,23257,159,0.001,7.203051292671348,23075,-49.15198228944023,,
100.28,148,352,207.62269256,23681,159,0.001,7.118051492250883,23495,-49.39853007976826,,
,,,,24000,,0.001,6.902552214690617,23878,-49.57230796813965,111.69962680935859,65.6
100.59,151,356,208.94177836999998,24060,159,0.001,8.11856515590961,23930,-50.43655512883113,,
103.4,154,360,216.02800485000003,24686,160,0.001,8.100502411524454,24438,-50.04237302144369,,
,,,,25000,,0.001,9.656806903619033,24868,-50.278629420353816,307.4596638143063,128.1
105.17,158,364,221.61979297000005,25202,159,0.001,10.54781907569361,24999,-50.775355471097505,,
107.63,161,368,230.24771278000003,25809,159,0.001,11.181347553546612,25556,-51.311920048640324,,
,,,,26000,,0.001,11.455372463226318,25858,-51.46200519137912,317.76441949009893,131.3
109.72,165,372,236.4125803,26334,159,0.001,10.219786191940308,26113,-51.67684148973034,,
112.83,168,376,244.86283981999998,26957,159,0.001,9.896484736523597,26729,-52.35206814816124,,
,,,,27000,,0.001,12.126094010315443,26881,-52.41288345738461,358.6873984456062,147.1
115.33,173,380,252.01286266,27543,158,0.001,11.362755759162193,27336,-52.94258343731916,,
,,,,28000,,0.001,12.204032293434352,27804,-53.84164424564528,432.4348185539246,170.1
118.42,178,384,260.16762557,28195,157,0.001,12.300468047919301,27977,-53.40020011192144,,
120.93,182,388,267.53756850999997,28899,158,0.001,12.276577444334288,28631,-54.81632514621901,,
,,,,29000,,0.001,14.108382612466812,28823,-54.4024703502655,397.52019145488737,186.8
123.66,187,392,276.14469822,29667,158,0.001,11.136921079791321,29398,-55.2618093685228,,
,,,,30000,,0.001,13.971259790148054,29766,-55.43285616961393,362.4770490169525,168.4
125.31,192,396,280.54481862,30373,157,0.001,13.947697966761844,30104,-56.04921955781825,,
125.22,195,400,283.11976864,30926,157,0.001,13.09427085428527,30723,-56.6565934383508,,
,,,,31000,,0.001,18.15479069807398,30850,-56.9725986123085,337.44901527166365,155.3
127.47,200,404,288.57516121000003,31583,157,0.001,15.315739368781065,31341,-57.47982377272386,,
,,,,32000,,0.001,17.193921921359507,31809,-57.936891751411636,359.6142551600933,178.5
129.42,205,408,293.72881835,32212,156,0.001,15.617084229129484,31983,-57.78024020140199,,
131.46,209,412,298.82999051999997,32790,156,0.001,16.71783152065779,32573,-58.0723708805285,,
,,,,33000,,0.001,14.900175656943485,32859,-58.128787464565704,335.6363776862621,135.6
133.22,213,416,304.44893752999997,33341,156,0.001,16.3010103771652,33134,-58.396257041157156,,
134.98,216,420,309.56356470000003,33900,156,0.001,14.568580838217251,33683,-58.28452826237333,,
,,,,34000,,0.001,17.657491061704377,33824,-58.47224555217044,337.27476288080214,137.0
136.67,220,424,314.33225518,34460,156,0.001,15.399720492937886,34249,-58.201682390485495,,
,,,,35000,,0.001,17.47004959863775,34799,-58.83417959774242,312.662149310112,131.5
138.17,223,428,319.28472889000005,35007,156,,,,,,
139.83,226,432,323.56896264000005,35563,156,0.001,17.275803242020935,35354,-58.46234113519842,,
,,,,36000,,0.001,18.26725582309536,35888,-58.31249925825331,308.4275801062584,141.5
141.23,231,436,326.77936385,36107,156,,,,,,
142.4,233,440,329.83118384999995,36633,156,0.001,17.62157119021696,36426,-58.484364677877984,,
,,,,37000,,0.001,19.30032517468488,36838,-58.44863134271958,298.9666898429394,129.6
143.39,237,444,331.40970705,37171,156,0.001,18.92131381109357,36966,-58.59815353155136,,
144.22,240,448,333.41880913999995,37679,156,0.001,19.04305424277238,37475,-58.57551495991056,,
,,,,38000,,0.001,20.719228078448584,37858,-58.02319590250651,316.32773783802986,134.6
145.15,243,452,335.86270426000004,38196,156,0.001,17.813100134625156,37994,-58.3682918548584,,
146.51,246,456,340.32788509000005,38711,157,0.001,18.511643719673156,38501,-57.35548553466797,,
,,,,39000,,0.001,19.502431285473726,38895,-57.45717650651932,288.4412437260151,124.6
145.43,250,460,338.9500081099999,39229,156,0.001,20.223378011422565,39024,-57.751217123178336,,
145.98,253,464,341.92669782999997,39800,156,0.001,19.081812986238734,39568,-56.75857228040695,,
,,,,40000,,0.001,20.406841846833746,39890,-56.945088627826735,394.1308483481407,144.5
146.25,258,468,343.47549851,40434,156,0.001,18.19937246085624,40203,-56.811172349112375,,
146.28,261,472,344.92618337,40962,156,0.001,21.53391308443887,40806,-57.37985002426874,,
,,,,41000,,0.001,22.661426055431367,40886,-56.38707418441773,359.1198066234589,142.9
145.03,265,476,343.0963516,41460,156,0.001,22.055639291111426,41304,-56.90416622161865,,
,,,,42000,,0.001,19.46306280336882,41780,-56.707511620772515,398.1276446580887,147.9
144.95,269,480,344.64537397999993,42038,156,,,,,,
143.39,272,484,341.56695559,42534,156,0.001,21.78546566798769,42334,-56.824535567184974,,
,,,,43000,,0.001,24.35262681456173,42848,-56.57625725690056,573.3952508985997,178.8
142.05,277,488,340.62669279,43104,155,,,,,,
141.28,281,492,342.47702221,43795,155,0.001,25.607336074910698,43582,-56.305156180199155,,
,,,,44000,,0.001,22.405048694053704,43719,-57.12268004697912,681.9621550619602,214.3
141.55,287,496,351.3036108799999,44528,155,0.001,26.100604606397223,44299,-57.08922395802507,,
,,,,45000,,0.001,19.17496485090525,44804,-56.66301135802537,711.2044837534428,221.9
144.37,293,500,365.19178741999997,45363,154,0.001,23.500992114369463,45009,-56.852644901649626,,
,,,,46000,,0.001,20.805132267322946,45829,-57.20261618431578,542.8335886955261,178.0
144.89,299,504,373.31012394,46072,153,,,,,,
145.39,303,508,379.9330506,46751,154,0.001,21.28770853774716,46471,-57.633870250046854,,
,,,,47000,,0.001,26.844689759341154,46829,-57.75632803780692,1041.9496123552321,531.0
148.01,313,512,385.69974411,47591,152,0.001,25.407354926118757,47370,-57.641132505813445,,
,,,,48000,,0.001,26.360765349631215,47865,-57.884453979193,764.0271767616272,438.9
150.6,320,516,396.26299616000006,48401,150,0.001,27.41475897605973,48063,-58.133296966552734,,
,,,,49000,,0.001,26.629996743821007,48325,-58.25907883389306,1051.2330317676067,1000.0
,,,,50000,,0.001,25.82159955406189,49325,-58.46041149139404,1027.1084001898766,1000.0
167.75,351,520,407.1757502500001,50675,144,0.001,25.990484334420465,50463,-58.801830347033516,,
