train/critic_loss,train/learning_rate,time/total_timesteps,time/fps,train/actor_loss,rollout/ep_len_mean,train/n_updates,time/episodes,time/time_elapsed,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
19.767682297258492,0.001,1204000,,-118.00829054759099,,1203796,,,,714.0972678542137,262.2
,,1204134,86,,292.55,,4008,14000,784.74062085,,
20.11600160598755,0.001,1205000,,-117.3372561500186,,1204681,,,,1264.6528887301683,396.0
,,1205365,86,,292.66,,4012,14010,785.5000043099999,,
18.53772967685551,0.001,1206000,,-118.03088159430517,,1205714,,,,767.373420715332,274.3
18.160562784045045,0.001,1206723,86,-118.02693431957348,296.98,1206320,4016,14025,804.87180125,,
18.063768140096514,0.001,1207000,,-117.85935633957007,,1206635,,,,764.1497944056988,271.8
18.561108752893276,0.001,1207961,86,-117.90924098349025,292.94,1207394,4020,14035,792.1370988599999,,
18.77681231847138,0.001,1208000,,-117.42006319437067,,1207873,,,,1171.8603136893362,389.9
20.255937650353122,0.001,1208896,86,-117.99917381578456,294.04,1208601,4024,14048,797.7079852000002,,
20.586533850517824,0.001,1209000,,-117.18943053025465,,1208808,,,,1137.7201293766498,370.9
21.43307718506515,0.001,1210000,,-117.5773566235071,,1209743,,,,1172.4539613366128,390.4
,,1210285,86,,300.27,,4028,14064,822.5711430200001,,
20.927127510580974,0.001,1211000,,-117.22088216145833,,1210526,,,,1578.194576305151,498.2
19.926815030574797,0.001,1212000,,-116.80258892059327,,1210926,,,,967.4798517065122,352.6
20.534366377830505,0.001,1212406,86,-117.03926956176758,313.25,1211926,4032,14089,871.91602411,,
19.872323129393838,0.001,1213000,,-115.96998998468572,,1212538,,,,1616.5465059816838,537.1
19.056299968407703,0.001,1213673,86,-116.80915443713849,313.47,1213389,4036,14106,872.7636141199998,,
20.33041022505079,0.001,1214000,,-116.46641050066266,,1213585,,,,1548.650977548957,521.3
21.10245978408314,0.001,1215000,,-116.58687102488982,,1214833,,,,2035.6305924117564,704.7
20.905103701114655,0.001,1216000,,-116.43758840942382,,1215833,,,,1106.4382691025735,409.3
,,1216154,85,,327.53,,4040,14142,917.8254648899998,,
20.02497876650327,0.001,1217000,,-115.73044232527415,,1216451,,,,1217.7861491680146,421.6
20.31545840678531,0.001,1218000,,-116.09574683156299,,1217746,,,,1811.518455869332,638.8
,,1218607,86,,343.99,,4044,14169,970.4951647699999,,
19.25140776393639,0.001,1219000,,-115.67908266294806,,1218519,,,,1920.2401820624248,648.5
18.986951902292777,0.001,1220000,,-115.81381745269333,,1219825,,,,1158.3555408854038,429.9
,,1220348,85,,353.59,,4048,14197,1000.8441487700001,,
18.7088118929612,0.001,1221000,,-115.59690941258481,,1220640,,,,1479.7172280669213,490.4
20.573332544100488,0.001,1221847,85,-115.49642444301296,359.9,1221386,4052,14215,1021.9180763300001,,
22.1253019989975,0.001,1222000,,-115.69425513154717,,1221759,,,,1284.9386800050736,430.2
19.054726367526584,0.001,1223000,,-115.0565926445855,,1222747,,,,835.3589153110981,320.2
19.055396909098473,0.001,1223455,85,-115.7618170953566,368.27,1223057,4056,14236,1048.9609579100002,,
20.69605404621846,0.001,1224000,,-115.37470480974983,,1223774,,,,1540.4014092504979,534.5
18.73131258263547,0.001,1225000,,-114.85553343683226,,1224673,,,,979.4145435616374,347.5
,,1225198,85,,377.44,,4060,14259,1079.2058686999999,,
18.389116381456752,0.001,1226000,,-115.70732852227674,,1225769,,,,1465.429481780529,502.4
18.34349231561903,0.001,1226661,85,-115.37573432922363,383.36,1226312,4064,14277,1098.62580723,,
17.49024602919246,0.001,1227000,,-115.55264381995568,,1226573,,,,1322.147491326928,466.9
17.461849771260063,0.001,1228000,,-115.61173097177404,,1227770,,,,1911.5412824352272,664.4
,,1228581,85,,394.52,,4068,14301,1136.4688709800002,,
17.887000226380913,0.001,1229000,,-115.26486582240899,,1228493,,,,1363.0260346710681,460.4
18.583472736020337,0.001,1230000,,-115.97003381478312,,1229620,,,,1005.11750690341,369.1
17.923206305303495,0.001,1230417,85,-116.10664749145508,404.95,1229977,4072,14327,1172.83795914,,
17.132979790707854,0.001,1231000,,-116.74485863579645,,1230777,,,,684.165877302736,272.6
17.243736914930672,0.001,1231531,85,-115.9669794016871,407.91,1231067,4076,14340,1179.0714929800001,,
16.831831444737965,0.001,1232000,,-115.96094509217798,,1231852,,,,685.0315897345542,278.3
17.374180227324977,0.001,1233000,,-116.02963993353245,,1232675,,,,1029.240392947197,380.6
,,1233279,85,,413.74,,4080,14362,1194.50817855,,
