rollout/ep_len_mean,time/time_elapsed,train/learning_rate,time/episodes,train/critic_loss,rollout/ep_rew_mean,train/n_updates,train/actor_loss,time/total_timesteps,time/fps,eval/mean_reward,eval/mean_ep_length
,,0.001,,21.6591745712718,,78824,-112.62458926341573,79000,,349.516316395998,166.7
439.7,809,0.001,540,22.091258805592854,563.3225924100001,79134,-113.36818471272787,79301,97,,
,,0.001,,30.13985173225403,,79515,-112.44768096923828,80000,,655.2171705305576,496.9
447.41,819,0.001,544,21.629780087271932,577.58852883,80018,-113.05372549995543,80173,97,,
,,0.001,,19.289719474985358,,80722,-112.79600405158483,81000,,525.3261236548424,350.2
457.93,831,0.001,548,23.15980625045913,594.06038964,81169,-112.83336694144347,81697,98,,
,,0.001,,27.144422546146423,,81884,-112.34481823444366,82000,,311.9714801967144,132.9
427.6,837,0.001,552,21.76072727413628,568.2780040299999,82011,-112.9219251360212,82167,98,,
422.87,841,0.001,556,20.572128831476405,569.04962365,82548,-112.57720593438633,82701,98,,
,,0.001,,29.59809478691646,,82915,-112.28263446262905,83000,,262.07838772535325,119.6
419.16,845,0.001,560,23.556647079032764,569.07312394,83029,-111.86706609893264,83360,98,,
,,0.001,,18.943308907239427,,83779,-112.49710791207215,84000,,569.6091552615165,382.4
,,0.001,,22.129903614028425,,84532,-112.5413927440801,85000,,716.8977061390876,515.4
411.94,864,,564,,566.7035722999999,,,85076,98,,
,,0.001,,22.542421781394378,,85547,-112.9973984990254,86000,,759.1059042394161,564.5
405.42,883,0.001,568,21.74521268069089,562.98188044,86745,-113.3082744190528,86898,98,,
,,0.001,,21.337654802534317,,86871,-113.7375999329582,87000,,929.160332250595,722.3
,,0.001,,24.130184601212658,,87559,-113.37730039552201,88000,,1061.685332340002,1000.0
,,0.001,,26.983923006661332,,88717,-113.6283141510396,89000,,1032.0005765199662,1000.0
397.18,922,,572,,557.0521928200001,,,89744,97,,
,,0.001,,23.803373245954514,,89717,-114.02756941223144,90000,,1010.5960368931294,1000.0
,,0.001,,30.835869994476763,,90854,-115.078323032545,91000,,1002.9699792444706,1000.0
,,0.001,,26.587860140800476,,91854,-115.48163175964355,92000,,878.5677116394043,675.1
389.88,963,,576,,549.63978206,,,92572,96,,
,,0.001,,25.385089096095825,,92689,-116.49836084577773,93000,,937.7283282458782,915.5
373.88,982,0.001,580,25.162772505822844,534.46038186,93826,-117.31963105132614,93980,95,,
,,0.001,,21.06783632593831,,93953,-118.22170003255208,94000,,381.8498843073845,137.8
357.42,986,0.001,584,25.662312280784533,520.3082706099999,94346,-118.08160679156964,94501,95,,
,,0.001,,25.821447173102957,,94860,-118.66772548487928,95000,,310.48285019397736,128.4
346.93,990,,588,,510.65213560999996,,,95050,95,,
334.76,993,0.001,592,26.608995123679595,499.38728853999993,95448,-118.29445930763528,95583,96,,
,,0.001,,24.830130393688496,,95842,-117.9493151933719,96000,,316.44175550937655,136.5
316.96,998,0.001,596,27.246391117572784,482.3571075900001,95994,-118.13540047093441,96174,96,,
308.63,1001,0.001,600,28.080965868632,475.25308531,96585,-118.167470703125,96774,96,,
,,0.001,,27.437795628362625,,96881,-118.09960254270639,97000,,342.5157605171204,141.3
300.78,1005,0.001,604,20.287247068173176,468.04650812000006,97170,-118.07786570368586,97341,96,,
292.03,1008,0.001,608,32.96559243693071,458.20525616,97659,-118.42276000976562,97837,96,,
,,0.001,,27.63331245479727,,97943,-119.27233748002486,98000,,349.62205839753153,150.0
282.61,1013,0.001,612,23.578231759622795,449.47183419,98245,-118.7571588803644,98424,97,,
263.86,1016,0.001,616,39.488063083376204,433.12116602000003,98827,-118.76065848214286,98996,97,,
,,0.001,,28.886972047913243,,98969,-118.52179298938161,99000,,320.99450048208234,143.9
248.1,1020,0.001,620,29.919885260458212,418.66321845000016,99371,-118.93245133620042,99524,97,,
,,0.001,,30.437976410222607,,99905,-118.59343861424645,100000,,346.79690835475924,125.1
238.92,1024,,624,,411.9991336800001,,,100058,97,,
234.29,1027,0.001,628,25.410560284764312,410.2906275300001,100405,-118.90291633605958,100521,97,,
,,0.001,,22.553925713827443,,100873,-118.45097482204437,101000,,338.6423908531666,131.4
233.23,1031,,632,,414.57134326,,,101033,97,,
229.67,1034,0.001,636,27.212646555155516,412.28098150000005,101420,-118.53799295425415,101574,98,,
,,0.001,,25.98954860056479,,101929,-119.03477042061942,102000,,216.93376603722572,94.6
227.55,1038,,640,,409.93964566999995,,,102056,98,,
223.06,1040,0.001,644,27.20611704401223,405.22963489,102339,-118.23614594994521,102479,98,,
211.88,1042,0.001,648,19.003955905820117,392.21734157,102734,-117.42640704643435,102885,98,,
,,0.001,,30.07242416566418,,102858,-118.00141549879505,103000,,220.05375858545304,94.6
211.21,1045,0.001,652,22.92381285443718,391.01842365,103152,-118.03490057224181,103288,98,,
210.39,1048,0.001,656,26.23040436861808,390.62099217,103590,-118.32047365422835,103740,98,,
,,0.001,,31.989180645635052,,103962,-118.26949113415134,104000,,366.7899186849594,127.3
208.75,1052,0.001,660,26.574536964297295,392.0956352699999,104090,-118.60019910335541,104235,99,,
196.37,1055,0.001,664,26.564304425166203,380.5986074499999,104561,-118.31077943999192,104713,99,,
,,0.001,,25.002961893235483,,104931,-118.60935555734942,105000,,350.56058956980706,122.7
182.9,1059,0.001,668,23.083855759013783,368.54580798,105052,-118.63475862096567,105188,99,,
159.23,1061,0.001,672,29.628098800534108,348.23107452999994,105518,-118.91512811379354,105667,99,,
,,0.001,,22.355343026381274,,105881,-118.60035588191106,106000,,298.323818141222,108.9
135.53,1065,0.001,676,29.106727175279097,328.81973315000005,105991,-119.40474270907315,106125,99,,
126.3,1067,0.001,680,23.060569893568754,322.67962435,106455,-120.17116439342499,106610,99,,
,,0.001,,25.633167605363685,,106841,-120.73711465688852,107000,,405.68164573311805,135.4
126.23,1071,0.001,684,29.117914217231917,323.87143741000006,106978,-120.13212939276211,107124,99,,
125.22,1074,0.001,688,25.840198703840667,323.21373017,107428,-120.4171277214499,107572,100,,
,,0.001,,33.4610916637239,,107853,-121.49591563298152,108000,,394.56648882627485,133.3
