time/fps,time/time_elapsed,train/n_updates,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/learning_rate,eval/mean_reward,eval/mean_ep_length
,,115113,-153.38265200805665,,25.31492041039467,116000,,,0.001,1004.1131839632988,1000.0
,,116138,-153.03179931640625,,18.590291290283204,117000,,,0.001,777.4265833673999,765.6
118,984,,,544.15,,117165,608,663.35910571,,,
,,117138,-153.09304846191407,,26.718828398227693,118000,,,0.001,1008.458967924118,1000.0
,,118138,-151.42605575561524,,28.80084074139595,119000,,,0.001,997.4452331155538,1000.0
,,119138,-151.22530654907226,,27.085967148065567,120000,,,0.001,991.9216565310956,1000.0
,,120138,-150.92674197387694,,22.998009554624556,121000,,,0.001,1010.9434433817863,1000.0
117,1029,,,559.36,,121165,612,674.2324482700001,,,
,,121138,-149.97784573364257,,22.81974397134781,122000,,,0.001,993.1761781096459,1000.0
,,122245,-148.00180888625812,,14.408088742015519,123000,,,0.001,996.5533921420574,1000.0
,,123245,-147.965813079834,,21.41508036375046,124000,,,0.001,1024.5600862622262,1000.0
116,1064,,,579.16,,124272,616,686.3553023400001,,,
,,124245,-146.91981958007813,,21.70815713405609,125000,,,0.001,1027.1031623780727,1000.0
,,125245,-146.16904272460937,,19.212001156330107,126000,,,0.001,1031.527417230606,1000.0
,,126245,-145.18236013793944,,20.226361315250397,127000,,,0.001,1036.0282043278216,1000.0
,,127245,-144.55272512817382,,18.302996383309363,128000,,,0.001,1081.9179955303669,1000.0
115,1110,,,606.12,,128272,620,707.31281231,,,
,,128245,-144.34639709472657,,18.56755002093315,129000,,,0.001,1061.6006694734097,1000.0
114,1128,129344,-146.11147953913763,600.34,32.72617430312961,129405,624,694.09736567,0.001,,
,,129855,-145.26341981976947,,27.48152922639202,130000,,,0.001,1053.2619383215904,1000.0
,,130855,-145.1999639892578,,23.733112347602844,131000,,,0.001,1033.6399801194668,1000.0
114,1156,,,609.14,,131882,628,696.46496527,,,
,,131855,-144.52220278930665,,19.230054787635805,132000,,,0.001,1048.410595649481,1000.0
,,132855,-143.9612389526367,,17.843975051403046,133000,,,0.001,1068.3121646046638,1000.0
,,133855,-143.06162185668944,,21.767500656366348,134000,,,0.001,1017.3662045240402,1000.0
,,134855,-142.2646272277832,,19.909149615049362,135000,,,0.001,1038.795641207695,1000.0
112,1203,,,635.36,,135882,632,717.0550396800002,,,
,,135855,-141.6687917175293,,19.064030074596406,136000,,,0.001,1047.5734131336212,1000.0
,,136855,-140.64831317138672,,15.83960710656643,137000,,,0.001,1046.1762031674384,1000.0
,,137855,-139.78215533447266,,17.19606767177582,138000,,,0.001,1065.731030547619,1000.0
,,138855,-138.5669317779541,,17.350264302492143,139000,,,0.001,542.3585662126541,344.8
112,1242,,,656.22,,139458,636,734.11677125,,,
,,139431,-137.79356847869025,,12.727234948426485,140000,,,0.001,908.284561008215,704.5
,,140226,-137.16274986075396,,18.31384485352714,141000,,,0.001,1065.595907497406,1000.0
,,141226,-136.0023983154297,,17.28744992220402,142000,,,0.001,1051.5900831878184,1000.0
,,142226,-135.4650808868408,,16.48125883746147,143000,,,0.001,1052.7958137452601,1000.0
111,1283,,,678.91,,143253,640,753.176481,,,
,,143226,-135.15457781982423,,15.258452303290367,144000,,,0.001,1053.4833017230035,1000.0
111,1301,144743,-133.7121902010334,680.47,10.226378212224192,144825,644,752.2275033400002,0.001,,
,,144857,-134.7344547140187,,5.798002036951356,145000,,,0.001,368.39810076951983,172.7
