time/fps,time/time_elapsed,train/n_updates,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/learning_rate,eval/mean_reward,eval/mean_ep_length
155,169,26309,-87.01813289097377,96.5,174.6988193648202,26362,388,127.48488320999999,0.001,,
155,170,26415,-88.62195880596454,94.0,112.71755857820864,26468,392,121.44851159,0.001,,
155,170,26529,-90.49204799107143,91.74,135.195570255148,26584,396,116.07575841000002,0.001,,
,,26586,-89.5881357828776,,70.89909001054436,27000,,,0.001,450.46635791659355,415.0
,,27504,-96.36539331240851,,114.82078890914751,28000,,,0.001,1024.9087495982646,1000.0
,,28504,-104.37272947692871,,101.86604360580445,29000,,,0.001,559.007616007328,470.0
150,193,,,113.16,,29041,400,137.03516555000002,,,
,,29777,-118.50532650497725,,133.4077539039108,30000,,,0.001,775.4950404405594,646.3
148,206,30447,-123.44575245415986,127.31,140.19482218614266,30780,404,152.45161879,0.001,,
,,30753,-128.40101533777573,,162.84484247132843,31000,,,0.001,511.6726919353008,322.1
,,31751,-137.18262326515327,,184.4405165121589,32000,,,0.001,643.8207827448845,471.2
147,218,,,138.81,,32249,408,167.90271292,,,
,,32702,-142.98440974553426,,138.69183625777563,33000,,,0.001,504.6086092054844,338.1
147,228,33386,-147.7979761024431,151.03,176.28898053929424,33789,412,183.88807675000004,0.001,,
,,33762,-150.21812138658888,,156.5741925239563,34000,,,0.001,499.9407452225685,330.8
,,34849,-155.9214263584303,,162.40946681603143,35000,,,0.001,480.92140622138976,315.1
146,240,,,160.86,,35199,416,197.13333458,,,
,,35950,-163.55123309235074,,162.22315539505118,36000,,,0.001,926.0765074610711,852.6
144,252,36203,-166.02485838390533,160.54,145.29379907992518,36423,420,200.53460224000003,0.001,,
,,36396,-166.61225120308472,,178.39082787073954,37000,,,0.001,616.2853957533837,507.5
,,37583,-170.52276299589423,,172.61390153609494,38000,,,0.001,1076.5558267891406,1000.0
,,38583,-171.8660273742676,,141.73158513259887,39000,,,0.001,552.6133979856968,408.1
141,275,,,155.62,,39012,424,199.01394497,,,
,,39779,-172.14100780952268,,146.47875132409905,40000,,,0.001,585.3141393065453,435.4
,,40211,-173.23529928701896,,134.59500092047233,41000,,,0.001,1063.494912713766,1000.0
140,293,,,166.71,,41238,428,214.79329245999998,,,
,,41211,-173.92717166137695,,140.80338415145874,42000,,,0.001,1042.5638453662395,1000.0
,,42211,-172.92594821166992,,130.04776434326172,43000,,,0.001,1040.1021433651447,1000.0
,,43211,-175.59135336303711,,130.20041662597657,44000,,,0.001,1050.26057356596,1000.0
,,44211,-176.6305115661621,,116.49383910179138,45000,,,0.001,998.9637595891952,1000.0
134,336,,,205.12,,45238,432,254.13417287999997,,,
,,45211,-180.72150314331054,,119.4825948009491,46000,,,0.001,1025.8302048623561,1000.0
,,46211,-182.81614041137695,,120.79790753746033,47000,,,0.001,997.9321365833282,1000.0
131,363,47242,-176.91732501983643,228.49,81.9792863169024,47721,436,277.08618428,0.001,,
,,47922,-180.5114336515728,,117.59353130323845,48000,,,0.001,297.1444358289242,150.2
,,48268,-179.99907011144302,,94.81235968008549,49000,,,0.001,555.2420290201902,380.6
132,371,,,242.98,,49295,440,295.57004197000003,,,
131,377,49619,-181.43032001999188,246.66,99.7787450214602,49791,444,306.1696539,0.001,,
,,49901,-181.29324744729433,,95.79166924692419,50000,,,0.001,280.3386587023735,132.4
131,381,50196,-180.81619638939426,251.4,106.73168904814001,50369,448,318.04633661,0.001,,
132,384,50823,-180.26591270848326,256.57,89.83790193196215,50984,452,330.30331774999996,0.001,,
,,50957,-181.5916096701551,,94.63685195125751,51000,,,0.001,316.0463165462017,135.0
132,388,51385,-179.98502823069126,261.46,100.84791367009001,51561,456,342.3701968499999,0.001,,
,,51911,-180.0338845147027,,82.71785164939033,52000,,,0.001,319.78170082569125,149.6
133,392,52062,-178.66957333213404,267.59,84.9189672785879,52268,460,355.5272531300001,0.001,,
,,52612,-178.8065201515375,,100.02097002665202,53000,,,0.001,919.9748020529747,785.4
132,405,53612,-179.42324267578124,283.02,95.17164355754852,53916,464,377.01612274,0.001,,
,,53889,-179.4074439449587,,107.89850588223564,54000,,,0.001,398.5152691602707,210.7
133,410,54476,-177.63291150470113,289.49,103.53014805150586,54676,468,390.8215940900001,0.001,,
,,54966,-178.15967735877405,,80.6869874611879,55000,,,0.001,330.20423449873925,167.8
133,415,55126,-175.53732528686524,294.71,73.44453915953636,55406,472,401.78206146,0.001,,
,,55962,-174.90108351934524,,87.95558518909273,56000,,,0.001,352.6593601644039,190.0
133,420,,,301.33,,56180,476,415.44993879000003,,,
134,423,56666,-173.36801013317736,307.81,86.58744733412188,56933,480,428.44186053000004,0.001,,
,,56906,-172.1838431040446,,78.1399701754252,57000,,,0.001,371.465280777216,181.9
134,428,57451,-171.76419951698998,314.11,64.78964432215287,57668,484,442.00047228999995,0.001,,
,,57803,-169.74790954589844,,85.49799630671372,58000,,,0.001,377.00673576593397,190.7
134,432,58149,-170.20250533463118,319.88,71.75972977551547,58350,488,454.8780436699999,0.001,,
,,58870,-168.14111750176613,,66.82406572862105,59000,,,0.001,372.1285550415516,192.1
134,437,,,326.22,,59090,492,468.1823798699999,,,
,,59656,-168.630969099565,,52.61412588899786,60000,,,0.001,456.82165266871453,279.6
135,443,,,334.94,,60078,496,483.80112676,,,
135,448,60724,-165.64545213130484,319.19,59.63665242132111,60960,500,472.2852467,0.001,,
,,60933,-167.29727451617902,,55.55343653482684,61000,,,0.001,440.47520619630814,251.0
135,455,61613,-166.67679739898105,310.67,72.773472439568,61847,504,466.90233731999996,0.001,,
,,61820,-164.4706858121432,,59.655859795169555,62000,,,0.001,421.9049279689789,232.3
136,460,62494,-165.58350791587486,305.01,57.04289933797475,62750,508,461.8251027400001,0.001,,
,,62723,-165.36488730447334,,65.34924498395628,63000,,,0.001,866.7313963770866,844.0
,,63942,-165.03570681485263,,66.52148677442716,64000,,,0.001,1084.6249313533306,994.1
