rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
114.32,166,478,79925,796,257.98124373,79726,-53.066319942474365,27.485050550528936,0.001,,
,,,80000,,,79849,-52.815055284343785,28.37617443053703,0.001,288.4636781811714,121.8
114.83,166,482,80470,800,260.97767913,80254,-53.48470479791815,27.679507479523167,0.001,,
,,,81000,,,80822,-52.99252274457146,28.375428616559063,0.001,320.075172150135,129.9
115.54,166,485,81031,804,264.36766761,,,,,,
115.91,167,488,81547,808,266.4211502,81334,-52.814890027046204,27.53757766634226,0.001,,
,,,82000,,,81839,-52.77887538328009,25.53861667342105,0.001,296.79711268544196,124.4
115.94,166,491,82038,812,267.45333403,,,,,,
116.25,167,493,82552,816,269.33995365,82335,-51.8544806223067,31.099465235011785,0.001,,
,,,83000,,,82890,-51.57737961937399,25.657802238183862,0.001,330.69754831790925,132.1
117.13,167,497,83101,820,272.93619756,,,,,,
117.46,167,499,83616,824,274.77624072000003,83375,-51.75433502197266,24.658866675694785,0.001,,
,,,84000,,,83792,-51.4059817601764,25.136663766134355,0.001,391.715861171484,162.6
118.57,167,503,84200,828,278.73779468,83957,-51.8308529737519,25.136344487739333,0.001,,
120.27,167,506,84847,832,284.42921459999997,84604,-51.3897634379069,26.462373180389406,0.001,,
,,,85000,,,84771,-51.48373702635248,25.587322006682435,0.001,415.4098821103573,171.2
122.26,167,510,85509,836,290.44256266,85270,-51.20673345590566,27.29779224769742,0.001,,
,,,86000,,,85876,-51.32156184021856,25.03729407888063,0.001,393.08279759287836,186.0
123.87,167,515,86143,840,295.62673213,,,,,,
125.34,167,518,86754,844,301.61733172999993,86532,-51.178318618179915,24.989991993099064,0.001,,
,,,87000,,,86848,-51.397776839312385,25.14230120602776,0.001,387.42428463697433,147.0
126.92,167,523,87365,848,307.46545904999994,87141,-51.18863442825945,24.80130433063118,0.001,,
128.32,167,525,87946,852,312.83805636,87723,-51.489054881351095,26.991249704694415,0.001,,
,,,88000,,,87870,-50.818803581031595,24.042212025648883,0.001,390.60479866862295,151.4
130.07,167,529,88555,856,318.87910636,88335,-50.876349990432324,26.826988002597886,0.001,,
129.27,167,531,88927,860,316.81273785,88704,-50.7952158610026,31.546459395309974,0.001,,
,,,89000,,,88913,-50.674882888793945,25.692188322544098,0.001,7.618719354056521,35.4
125.98,167,532,89057,864,306.67489263999994,88948,-50.435940212673614,22.593744659423827,0.001,,
126.75,167,533,89182,868,306.45660252,89074,-51.132848501205444,27.131398662444084,0.001,,
124.56,167,534,89301,872,298.52210509,89196,-51.74099922180176,23.297983646392822,0.001,,
118.09,167,534,89416,876,278.55681359000005,89313,-50.70234298706055,26.469185320536294,0.001,,
115.33,167,535,89531,880,269.78662743000007,89428,-50.90605672200521,26.043107096354166,0.001,,
111.72,167,535,89635,884,259.04026424000006,89531,-51.001845359802246,30.47486961364746,0.001,,
108.05,167,536,89745,888,247.91418851999995,89641,-51.280077127309944,29.577011181758,0.001,,
104.31,167,536,89867,892,235.94476408000003,89760,-50.76387113683364,26.421320481733844,0.001,,
100.63,167,537,89988,896,224.50588400000004,89884,-50.47781575520833,25.786244951445482,0.001,,
,,,90000,,,89912,-51.37703677586147,21.63974448612758,0.001,4.80601589466678,29.0
96.33,167,538,90103,900,211.07685980000002,89998,-51.173699696858726,24.023837319735822,0.001,,
91.67,167,538,90198,904,197.41141263,90097,-51.781227405254654,27.902391580434944,0.001,,
87.52,167,539,90299,908,185.13523938999998,90198,-50.4384962717692,27.008172512054443,0.001,,
83.63,167,539,90401,912,173.64573918000002,90299,-50.699634869893394,23.47236801147461,0.001,,
79.56,167,540,90508,916,161.42160015000002,90404,-51.70584651402065,31.609286274228776,0.001,,
75.18,167,540,90619,920,147.97635578,90514,-50.86665562220982,22.56062606402806,0.001,,
71.03,167,541,90719,924,135.8528153,90619,-51.98616732083834,23.603875673734226,0.001,,
66.16,167,541,90816,928,121.7034391,90714,-51.03806363619291,23.592168502807617,0.001,,
60.87,167,542,90934,932,105.84950267,90827,-50.46042404174805,27.798272286691972,0.001,,
,,,91000,,,90922,-51.084174156188965,25.156884224184097,0.001,6.209499081698391,30.5
55.51,167,542,91060,936,90.12531461000002,90952,-50.92391738891602,22.636419614156086,0.001,,
50.71,167,543,91214,940,75.10050550000001,91092,-50.72442436218262,27.304386960135567,0.001,,
,,,92000,,,91176,-51.37856915122584,24.8587037889581,0.001,704.8407441259303,713.1
,,,93000,,,92479,-50.42087572615668,25.474856792110028,0.001,994.2041152060032,1000.0
68.01,166,562,93555,944,87.58083641000002,,,,,,
