time/time_elapsed,rollout/ep_rew_mean,time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/critic_loss,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
682,126.66578246,153,1168,62.97,104826,-42.90092560340618,4.0185703018964345,104673,0.001,,
,,,,,105000,-42.59491848945618,4.162093721330166,104857,0.001,62.1,127.03273588153533
685,126.65461716,153,1172,62.85,105070,-42.80550482965285,4.086720470522271,104918,0.001,,
687,126.79133768,153,1176,62.84,105319,-43.65101674397786,4.538203182867018,105158,0.001,,
689,127.26176647000003,153,1180,63.07,105583,-43.82191132336128,4.055524514045245,105430,0.001,,
691,127.10859342000002,153,1184,62.97,105826,-44.234011840820315,4.09801097313563,105674,0.001,,
,,,,,106000,-42.18021063969053,4.119906995256068,105793,0.001,68.2,134.8309572465514
694,128.80603071,152,1188,63.58,106144,-42.32506549358368,4.234344493775141,105988,0.001,,
697,129.05032933,152,1192,63.61,106413,-42.79454783389443,4.778885521386799,106257,0.001,,
699,129.29741163999998,152,1196,63.77,106665,-42.93520534038544,4.120192915201187,106508,0.001,,
701,130.01746443,152,1200,64.2,106941,-42.80120028620181,3.878527494577261,106784,0.001,,
,,,,,107000,-43.128342151641846,5.127572576816266,106849,0.001,85.8,185.07847241302952
705,131.65553013000002,152,1204,65.02,107264,-43.05446892815667,3.993357710838318,107105,0.001,,
707,132.08534872,152,1208,65.47,107549,-43.33365249633789,4.029009718643992,107380,0.001,,
710,132.64206091,151,1212,65.92,107833,-42.74252644707175,3.8947360446487647,107673,0.001,,
,,,,,108000,-43.27284257676866,3.9402999877929688,107901,0.001,79.1,159.94313171817922
713,133.48502100000002,151,1216,66.29,108129,-43.38592361822361,4.195570087727205,107982,0.001,,
716,134.29023321000003,151,1220,66.71,108414,-42.42738908337009,4.245863237078228,108261,0.001,,
718,134.56552063000004,151,1224,66.7,108665,-42.65466163898336,3.893887129880614,108511,0.001,,
720,134.98786087,151,1228,66.81,108949,-43.500716914301336,4.051736861146907,108795,0.001,,
,,,,,109000,-43.31015826809791,4.341014788996789,108857,0.001,66.9,128.8762310843682
723,134.87535882999998,150,1232,66.79,109210,-43.17953798847814,4.17999400631074,109055,0.001,,
725,135.01369864,150,1236,66.96,109470,-43.286373026230756,3.5930663779161978,109311,0.001,,
728,136.19947777000002,150,1240,67.45,109759,-42.75731936368075,4.171987706964666,109604,0.001,,
,,,,,110000,-43.10185980027722,4.189933616017538,109857,0.001,63.3,130.15148511625594
733,136.47771720999998,150,1244,67.41,110012,,,,,,
735,136.90022843999998,149,1248,67.62,110272,-42.86645993319425,4.417460553573839,110112,0.001,,
738,139.17338437,149,1252,68.62,110641,-43.137536321367534,4.159694314002991,110432,0.001,,
741,140.70779088,149,1256,69.3,110966,-43.110637068748474,4.221058837951175,110764,0.001,,
,,,,,111000,-42.86308559070934,4.221307570284063,110874,0.001,63.7,122.16292502839933
744,140.19384051,149,1260,69.08,111219,-43.15350120298324,4.463601904530679,111063,0.001,,
746,139.78010959,149,1264,68.97,111484,-43.481945276260376,3.92572577549861,111323,0.001,,
