time/fps,time/total_timesteps,train/learning_rate,train/critic_loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/actor_loss,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
155,95603,0.001,19.54898152240487,165.05,95354,435.24672187,-144.2787356709325,684,613,,
,96000,0.001,17.656303815506213,,95775,,-144.41308470446654,,,798.5397012770176,290.1
156,96725,0.001,16.442787739657618,170.3,96336,453.4346021999999,-145.5933687668438,688,619,,
,97000,0.001,25.527215801122534,,96829,,-147.00101740910458,,,717.0268058896065,265.5
155,97482,0.001,20.10775025324388,172.15,97319,458.31877574,-150.4949583573775,692,625,,
,98000,0.001,32.058039989582326,,97832,,-150.20008779126545,,,376.89267177581786,182.3
155,98196,0.001,29.381132784214888,173.47,98008,459.31282935,-150.83136731928045,696,630,,
156,98889,0.001,19.642050805982652,174.58,98695,459.61905588999997,-152.45268215975918,700,633,,
,99000,0.001,28.21908390593386,,98862,,-152.60703459240142,,,1119.580105280876,1000.0
,100000,0.001,28.82988999414444,,99862,,-153.5683218383789,,,380.1607040166855,161.1
155,100409,0.001,30.627971858362997,183.9,100168,469.73065636,-154.19988289857523,704,647,,
,101000,0.001,17.747230576746393,,100840,,-152.77217795632103,,,398.16757076382635,151.3
155,101051,,,184.42,,471.5034767,,708,651,,
155,101563,0.001,28.0343150154489,184.02,101406,470.20266626999995,-154.02461767978355,712,653,,
,102000,0.001,26.03434066085128,,101880,,-152.62041664123535,,,235.37466837763787,102.2
155,102010,,,182.94,,466.63700833,,716,656,,
155,102441,0.001,31.428324265139445,181.01,102319,461.168436,-153.84582873753138,720,658,,
155,102838,0.001,27.459440627098083,179.02,102707,455.59605238999995,-153.6909149169922,724,660,,
,103000,0.001,24.33294923180028,,102906,,-154.10898526509604,,,228.48868739008904,101.7
155,103240,0.001,32.885225228641346,177.6,103094,451.79462407999995,-153.91592075513756,728,663,,
155,103578,0.001,18.933939011297493,175.3,103516,445.42378491999995,-153.7742419772678,732,665,,
155,103830,0.001,30.339338769303993,171.66,103706,436.3527515699999,-151.85449348612033,736,666,,
,104000,0.001,18.467649654547373,,103923,,-154.22491658528645,,,342.57084530591965,128.8
155,104330,0.001,24.015207843620235,171.35,104172,436.89068366,-153.14975026448568,740,669,,
156,104918,0.001,27.014593420561795,170.41,104722,434.89837805,-153.29799680356626,744,672,,
,105000,0.001,28.083646514712,,104891,,-153.75935981387184,,,445.60787204504015,160.9
156,105799,0.001,26.428535921716538,171.95,105503,440.21647358,-153.74760736393023,748,677,,
,106000,0.001,31.059841639654977,,105912,,-152.91469988141742,,,312.6531023919582,138.7
156,106560,0.001,31.118654731942826,172.12,106288,440.19331146000013,-154.64623856744848,752,682,,
,107000,0.001,29.44543570636278,,106784,,-154.3196808345734,,,709.3653568387032,264.0
156,107571,0.001,38.012848696564184,174.65,107319,448.17959813999994,-155.6873865300959,756,688,,
,108000,0.001,31.155685042107056,,107777,,-155.58983888297246,,,647.9533152282238,224.7
156,108527,0.001,20.54967435933478,176.41,108225,453.45104875000004,-156.31815818504052,760,694,,
,109000,0.001,34.21014211805243,,108896,,-156.75318892629522,,,868.2950658261776,279.7
156,109441,0.001,32.66845632683147,177.87,109160,456.81275483999997,-156.8588832508434,764,700,,
,110000,0.001,26.543270639419557,,109913,,-157.53747448730468,,,571.705516064167,197.2
156,110423,0.001,28.829028075014183,180.98,110114,467.61025214999995,-157.6267012794419,768,706,,
,111000,0.001,40.03503008683523,,110801,,-158.49128952026368,,,691.7274868428707,223.3
156,111337,0.001,31.178601089276764,181.38,111067,469.43418097,-157.41507095681098,772,712,,
,112000,0.001,31.160659355744997,,111772,,-158.25329081217447,,,662.6195139825344,215.5
155,112192,0.001,32.823904679553344,180.66,111974,465.53271733,-158.3672894770556,776,719,,
,113000,0.001,46.730732465276915,,112803,,-157.99326931700415,,,613.1144564628601,210.8
156,113022,,,182.18,,470.66875891,,780,724,,
156,113817,0.001,28.98600072949846,182.14,113618,471.57556273,-158.17198808616567,784,728,,
,114000,0.001,25.458770003429677,,113790,,-157.6914335738781,,,557.4492578923703,192.5
156,114771,0.001,32.75783738521261,180.46,114462,469.37454441,-157.52756479245807,788,734,,
,115000,0.001,45.99050440274033,,114948,,-158.73274275835823,,,564.6978797793388,196.7
156,115543,0.001,20.576327262643996,180.61,115327,474.1094422600001,-158.9281215024798,792,738,,
,116000,0.001,30.75709672712944,,115933,,-158.2308392794627,,,724.676369279623,232.2
156,116436,0.001,24.282678106997874,182.4,116168,487.35340492,-159.00718132924226,796,743,,
,117000,0.001,35.87606468413795,,116783,,-159.92539103647297,,,856.602428394556,268.9
156,117274,0.001,19.64102973348846,183.85,117042,498.76260534,-160.03435891958384,800,748,,
,118000,0.001,28.44409325648921,,117856,,-158.52035137426074,,,358.1713229417801,142.5
156,118021,,,176.12,,496.08227989000005,,804,752,,
157,118819,0.001,46.7658450459325,177.68,118605,504.44184073,-160.76669454128944,808,756,,
,119000,0.001,35.35171984606248,,118792,,-160.12631485310007,,,545.7291555047035,184.1
157,119678,0.001,24.68466046542057,181.15,119432,519.50303777,-160.5973394671057,812,761,,
,120000,0.001,34.19529885301987,,119843,,-161.00327491760254,,,724.998038136959,224.2
157,120563,0.001,33.47052590701045,185.53,120316,537.2222020300001,-160.94115342551132,816,766,,
,121000,0.001,29.847434269000534,,120769,,-161.4704624044484,,,746.9224250078202,229.0
157,121469,0.001,26.871355810680903,190.28,121218,556.7631161500001,-161.96634158572635,820,772,,
,122000,0.001,25.305914402008057,,121918,,-162.60629324185646,,,629.0615056037902,218.5
157,122389,0.001,15.643949523839083,195.51,122138,575.77630764,-162.85074185458097,824,777,,
,123000,0.001,35.66969277283241,,122888,,-164.16086484308113,,,479.4699255883694,172.5
157,123093,,,198.53,,585.44052532,,828,781,,
157,123984,0.001,29.081316340644406,204.06,123736,603.1596956499999,-164.84414116241646,832,785,,
,124000,0.001,29.13851931947389,,123957,,-163.8303341952237,,,745.2040969073772,266.8
157,124940,0.001,33.092691588947794,211.1,124697,625.10775966,-164.85567456893338,836,790,,
,125000,0.001,45.74813001685672,,124913,,-165.34660353483977,,,691.2287550985814,234.0
157,125871,0.001,33.075680033674516,215.41,125597,637.80810688,-164.93712090057076,840,797,,
,126000,0.001,34.06765596104054,,125844,,-166.17643233268493,,,731.8256277143955,262.3
157,126822,0.001,30.931679065571082,219.04,126553,651.14144848,-166.1123954371402,844,802,,
,127000,0.001,29.394080891096888,,126795,,-165.7997446611893,,,640.5773857653141,196.6
157,127601,0.001,35.44845255881154,218.02,127334,649.8253843199999,-167.0266128004643,848,807,,
,128000,0.001,22.143416520052178,,127789,,-166.21771183192172,,,636.9396082043647,196.0
158,128508,0.001,28.32195664166511,219.48,128252,658.25205243,-167.56620743025596,852,812,,
,129000,0.001,32.53659362127615,,128899,,-167.5274685298171,,,902.6451812148094,273.5
158,129428,0.001,28.68577824616284,218.57,129221,657.9524444699999,-167.72159107279333,856,818,,
,130000,0.001,36.86253967703101,,129652,,-168.1714378235832,,,1108.4160858631135,360.9
158,130604,0.001,36.291786689262885,220.77,130309,668.67927999,-167.12725551439368,860,826,,
,131000,0.001,28.02189277013143,,130817,,-167.9189614613851,,,936.4633397340774,299.7
158,131608,0.001,36.16808138545762,221.67,131295,674.9190331800002,-168.40301396296576,864,832,,
,132000,0.001,26.753827686309815,,131831,,-168.60914501953124,,,644.8470631122589,216.8
158,132566,0.001,26.573209883769355,221.43,132292,675.6956450099999,-167.86851895650227,868,838,,
,133000,0.001,33.16785167818484,,132769,,-167.14223486858864,,,789.0262366950512,244.9
158,133504,0.001,28.341872657466137,221.67,133229,676.87319889,-168.2557361309345,872,843,,
,134000,0.001,39.95454086130316,,133752,,-168.7624624501104,,,773.5482777297497,245.4
158,134548,0.001,18.583311309728924,223.56,134208,686.33222301,-168.45470714569092,876,850,,
,135000,0.001,21.84560092424942,,134757,,-167.96625635179421,,,861.2676334917545,271.5
158,135625,0.001,30.858852208130003,226.03,135293,696.63715385,-169.43364000695897,880,857,,
,136000,0.001,25.99612483394389,,135843,,-168.01269118512263,,,664.7097450375556,224.6
158,136558,0.001,17.230294237788925,227.41,136299,700.81739525,-168.7517387194511,884,863,,
,137000,0.001,29.6507568359375,,136834,,-169.05273989627236,,,850.4813352108001,262.8
158,137579,0.001,21.07325381919986,228.08,137322,702.80569188,-169.64874992995965,888,870,,
,138000,0.001,27.355880999969223,,137788,,-169.32790568723516,,,834.5247533023357,262.6
158,138624,0.001,17.674107891905543,230.81,138305,712.60381505,-169.8308402234175,892,876,,
,139000,0.001,29.37813799329799,,138875,,-169.92694399168167,,,897.8287701010704,293.9
158,139743,0.001,30.48724805494273,233.07,139449,720.0367804299999,-169.71028194072085,896,884,,
,140000,0.001,31.501366224181787,,139716,,-170.09989291518482,,,960.1782389760017,296.1
158,140857,0.001,30.705194234848022,235.83,140579,729.5461490999999,-169.56624945693127,900,890,,
,141000,0.001,30.5876462241093,,140830,,-169.7228741115994,,,1360.898902016878,452.3
,142000,0.001,26.233931070529156,,141788,,-170.13772383980128,,,807.6902413964272,257.9
157,142081,,,240.6,,744.6117885999998,,904,900,,
,143000,0.001,28.061463007220514,,142857,,-172.3573454397696,,,724.7811993896961,225.2
157,143105,,,242.86,,752.7286825799998,,908,907,,
157,143822,0.001,38.958391527029185,241.44,143704,747.7393801499999,-173.09923662458147,912,911,,
,144000,0.001,39.767824539771446,,143795,,-171.202781507704,,,837.7308075726032,271.4
157,144797,0.001,29.241469947771094,242.34,144504,749.8140285300002,-172.36024300378696,916,917,,
,145000,0.001,18.438079133069603,,144770,,-172.71638741170554,,,746.3661679565906,255.2
157,145814,0.001,26.30635260826593,243.45,145511,750.6706293899999,-174.16897981558273,920,923,,
,146000,0.001,37.318465200023375,,145787,,-174.53436710523522,,,822.9467470526695,259.3
,147000,0.001,19.058032526689416,,146584,,-175.14761240342085,,,1208.5132821798325,442.2
157,147012,,,246.23,,755.8397367399998,,924,933,,
,148000,0.001,21.08640706148304,,147936,,-176.9538396616451,,,501.8034702658653,204.7
157,148083,,,249.9,,763.19333043,,928,940,,
,149000,0.001,31.89393231074015,,148056,,-176.37705917358397,,,1750.8870752573014,764.1
157,149487,0.001,37.822895073499836,255.03,149338,769.4779673600001,-176.43274000824474,932,951,,
157,149959,0.001,26.22897046985048,250.19,149922,753.0362775899999,-178.97854059392756,936,954,,
,150000,0.001,17.576290225982667,,149932,,-180.19907836914064,,,189.0776023030281,89.3
157,150462,0.001,39.13320544271758,245.91,150316,738.09754772,-178.5045859596946,940,956,,
157,150962,0.001,47.35199560330609,241.4,150814,719.48812592,-177.02357816696167,944,958,,
,151000,0.001,29.55309358313064,,150935,,-178.16192042032878,,,275.76931952834127,129.2
157,151459,0.001,21.062838927392036,238.58,151313,706.092933,-177.82329633159023,948,962,,
157,151989,0.001,32.74612009616298,234.81,151828,688.2991268100002,-177.95162177808356,952,964,,
,152000,0.001,39.382749208763464,,151962,,-179.26877787575793,,,275.48989706635473,128.6
157,152498,0.001,37.156450025737286,230.7,152344,669.49012268,-178.46504282951355,956,968,,
,153000,0.001,24.134953147486637,,152861,,-177.9447687322443,,,272.4408346414566,126.7
157,153015,,,224.11,,641.93916081,,960,971,,
157,153535,0.001,36.60262617351502,219.27,153381,619.8382514599999,-176.87060861738902,964,974,,
,154000,0.001,33.98579680197167,,153799,,-177.46768419670337,,,620.133603054285,269.3
157,154966,0.001,34.075692796230314,224.0,154799,610.1417456600001,-177.6458776550293,968,982,,
,155000,0.001,50.915481846673146,,154939,,-177.51454097202847,,,752.095514947176,352.5
,156000,0.001,39.791863656986905,,155814,,-177.27916983272252,,,544.8914785444737,202.0
157,156010,,,225.06,,607.69530996,,972,990,,
,157000,0.001,33.26285210189286,,156627,,-176.95826506278885,,,1142.5363289296627,378.2
157,157009,,,224.61,,603.62747114,,976,997,,
157,157862,0.001,32.77401896587853,222.37,157485,591.1473907800001,-176.44706474230128,980,1001,,
,158000,0.001,31.05020257132394,,157835,,-176.81084664481025,,,987.7531105518341,319.8
,159000,0.001,34.994761628315864,,158671,,-177.60692009853958,,,1252.1124074220656,503.6
157,159364,0.001,32.40691165602887,228.06,159057,605.84316931,-178.14813896534974,984,1014,,
,160000,0.001,27.348518167474612,,159866,,-177.6666030883789,,,890.8327602624893,325.4
157,160435,0.001,43.298819961480454,228.56,160149,604.51131611,-178.4085730153618,988,1020,,
,161000,0.001,38.87269644827213,,160969,,-179.3033938552394,,,1011.7946787059307,313.5
157,161626,0.001,33.11031919599369,230.02,161271,608.08603491,-179.70415360406534,992,1028,,
,162000,0.001,33.67241436533811,,161599,,-178.76657123100466,,,1231.9626737058163,401.6
,163000,0.001,29.88409040552197,,162634,,-179.00505008119526,,,901.0677847981453,299.7
156,163002,,,232.59,,614.3172701400001,,996,1038,,
,164000,0.001,36.270651194586684,,163561,,-181.3105654360643,,,1232.1488840043544,410.1
156,164454,0.001,33.030275276600754,235.97,164092,624.38186487,-180.927006312779,1000,1047,,
,165000,0.001,34.1492032065815,,164969,,-182.2371007638384,,,1705.5634216427802,646.4
156,165715,0.001,31.288284440397693,236.34,165423,624.4694338300001,-182.49760853771596,1004,1058,,
,166000,0.001,26.621281996140112,,165948,,-183.29925501896784,,,1020.817980748415,330.5
156,166947,0.001,32.078367179414364,238.42,166601,630.99222054,-183.07879811604818,1008,1065,,
,167000,0.001,33.16490200246016,,166920,,-183.40552778244017,,,858.3101810991764,289.9
