rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,time/fps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,eval/mean_reward,eval/mean_ep_length
78.98945161,395,81.98,688,67706,171,0.001,-58.21857655432917,67513,28.772798607426306,,
,,,,68000,,0.001,-57.86231402693124,67867,31.16198781440998,257.55021000504496,116.1
86.11872992,398,83.95,692,68116,170,0.001,-58.15975169477792,67982,30.450753070997155,,
92.75658575,400,85.94,696,68493,171,0.001,-58.34425211760957,68340,29.21109302973343,,
102.79852166999997,402,89.55,700,68987,171,0.001,-57.82691094183153,68785,32.04266583534979,,
,,,,69000,,0.001,-58.11162779066298,68911,27.037933107406374,261.6372281551361,120.3
112.65088342000003,405,93.07,704,69477,171,0.001,-57.82216982687673,69277,31.578828704833985,,
121.92714461000003,408,96.24,708,69956,171,0.001,-57.45423482259115,69755,31.30855900446574,,
,,,,70000,,0.001,-58.02770511687748,69880,28.046764183044434,262.52730711102487,121.1
131.81519280999999,411,99.72,712,70444,171,0.001,-57.78391146659851,70246,29.958998747697965,,
141.45150495,413,103.08,716,70927,171,0.001,-57.98162002563477,70733,28.765998323758442,,
,,,,71000,,0.001,-58.22534328396038,70851,28.86683599827653,249.11920177340508,115.7
150.98442766999997,416,106.43,720,71388,171,0.001,-58.07777592173794,71201,32.025112787882485,,
160.98029637000002,418,110.02,724,71870,171,0.001,-58.020265211138806,71670,30.184723619829143,,
,,,,72000,,0.001,-58.09565836588542,71914,29.780389642715456,251.37227646112441,115.5
170.79303650000003,421,113.54,728,72343,171,0.001,-57.435550043138406,72153,28.282635792964648,,
180.82895699,423,117.15,732,72820,172,0.001,-58.25065118758405,72621,33.70957395507068,,
,,,,73000,,0.001,-58.13781330949169,72862,27.277168176941952,218.7141792356968,104.2
190.31060492,425,120.54,736,73283,172,0.001,-57.530693753560385,73091,33.47143412431081,,
200.03045321,427,123.99,740,73756,172,0.001,-56.98319301605225,73567,31.142184218099295,,
,,,,74000,,0.001,-56.94629504762847,73913,27.741182779443676,252.29185153245925,115.2
209.67801614999996,430,127.37,744,74220,172,0.001,-57.049661948464134,74023,28.705001154812898,,
