train/learning_rate,time/fps,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/critic_loss,eval/mean_ep_length,eval/mean_reward
0.001,,52000,,-106.0755615234375,51854,,,,34.66036009338667,144.9,374.43174130916594
0.001,15,52177,127.63,-106.19956897056267,52000,312.17634844,3368,592,41.28664393294348,,
0.001,15,52718,128.32,-106.09437367067498,52552,314.90477322,3371,596,29.36437703795352,,
0.001,,53000,,-106.15264892578125,52838,,,,42.04387331008911,148.7,382.50145200490954
0.001,15,53302,129.64,-106.38189436260022,53140,319.50440070999997,3375,600,32.13217313352384,,
0.001,15,53830,130.32,-106.13582116785184,53670,322.22463765,3379,604,37.408006397544916,,
0.001,,54000,,-105.84637429680623,53945,,,,31.308301892079097,139.7,351.29262894392014
0.001,16,54403,131.23,-106.06682091254693,54233,326.31544752,3383,608,35.50407015892767,,
0.001,,55000,,-105.38348625801704,54818,,,,33.47275267098401,149.5,389.5744308173656
,16,55002,132.09,,,329.42696669000003,3388,612,,,
0.001,16,55543,132.16,-104.79487921486438,55391,329.36378027000006,3392,616,30.247990275772526,,
0.001,,56000,,-105.36379547119141,55912,,,,24.64592591868151,139.3,332.929038053751
,16,56070,132.51,,,330.15833669,3396,620,,,
0.001,16,56640,133.41,-105.86361864993447,56489,333.11954691,3399,624,30.76575421032153,,
0.001,,57000,,-104.8738892790559,56922,,,,27.96946375666101,151.5,381.2437043845654
0.001,16,57257,134.77,-105.38299199154503,57074,337.92718643,3404,628,27.66365379722495,,
0.001,16,57843,135.48,-105.99660055977958,57675,339.693239,3407,632,36.28923645576874,,
0.001,,58000,,-105.81105204264323,57967,,,,24.488128175798632,153.1,374.13025416731836
0.001,17,58443,136.59,-105.61758403034953,58269,343.1110191899999,3411,636,29.02556438569899,,
0.001,,59000,,-105.81988324617085,58875,,,,36.43501127707331,155.0,379.59667378664017
,17,59067,138.07,,,347.63158729,3416,640,,,
0.001,17,59686,139.13,-106.55127075195313,59496,350.52870904,3419,644,29.91110071182251,,
0.001,,60000,,-106.3917104547674,59812,,,,23.12716892342162,157.9,392.35849036574365
0.001,17,60312,140.57,-106.49673843383789,60137,354.3645874,3424,648,26.569308656017956,,
0.001,17,60917,141.59,-107.07619485737365,60748,356.69704104000004,3428,652,28.682727678322497,,
0.001,,61000,,-107.33965516426194,60890,,,,32.46478308758265,156.5,387.1621693253517
0.001,17,61515,142.89,-106.98333680784548,61365,360.6081632400001,3432,656,25.775013643695463,,
0.001,,62000,,-107.98287276147117,61946,,,,28.720362568577976,152.7,397.2957070469856
