rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,time/time_elapsed,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,eval/mean_ep_length,eval/mean_reward
264.9978227,121.49,99484,936,180,551,0.001,-56.383029150584385,99264,10.634696456909179,,
265.358825,121.6,99977,940,180,553,0.001,-57.05148967619865,99765,10.199313375473022,,
,,100000,,,,0.001,-56.388836157126505,99886,11.17261747092255,124.2,274.97365016937255
265.69235091999997,121.67,100470,944,180,556,0.001,-56.44996517896652,100257,9.51484303176403,,
266.55711254,122.02,100988,948,180,559,0.001,-56.74072365394005,100763,10.171500380712612,,
,,101000,,,,0.001,-56.40330647710544,100897,12.211598890930858,127.7,281.0160574913025
266.71101608,122.15,101485,952,180,562,0.001,-56.89120733542521,101274,9.812179495076665,,
267.27808689,122.36,101988,956,180,565,0.001,-56.279806518554686,101766,10.49058463390057,,
,,102000,,,,0.001,-56.2050896864671,101897,9.82039552790518,126.6,280.72716693878175
268.02887036,122.63,102495,960,180,568,0.001,-56.29715910691481,102274,11.072728042454683,,
,,103000,,,,0.001,-56.22760984632704,102789,9.422841477581835,128.8,285.87847208976746
269.11654683999996,123.0,103007,964,180,572,,,,,,
269.77224409999997,123.2,103508,968,180,574,0.001,-56.36986680464311,103293,9.937571868751988,,
,,104000,,,,0.001,-56.081980243805916,103795,10.573900173187257,131.6,295.19354726076125
270.7250215199999,123.58,104018,972,179,578,,,,,,
271.72671249999996,123.95,104543,976,179,581,0.001,-56.18140097225414,104324,10.844901635911729,,
,,105000,,,,0.001,-56.58712136745453,104835,9.998209927433221,125.4,275.11696330308916
272.42212065999996,124.2,105052,980,179,584,,,,,,
273.4954918199999,124.58,105559,984,179,587,0.001,-56.4299401640892,105335,8.05928247794509,,
,,106000,,,,0.001,-55.98533861564867,105863,10.748618378783718,126.8,281.48627922534945
274.37475137,124.85,106077,988,179,590,,,,,,
275.40376691999995,125.28,106604,992,179,593,0.001,-56.62426572857481,106382,10.193233060472794,,
,,107000,,,,0.001,-56.33602093112084,106893,9.557235133263372,129.3,292.7625440955162
276.29610144,125.52,107113,996,179,597,,,,,,
277.25018428,125.81,107628,1000,179,599,0.001,-56.40249539888822,107413,9.730799291684077,,
,,108000,,,,0.001,-56.7929430764819,107797,10.208080216655581,125.9,283.46629934310914
278.08901098,126.05,108139,1004,179,603,0.001,-56.52400262894169,107921,10.98242179039986,,
278.99859116999994,126.28,108649,1008,179,605,0.001,-56.15792912244797,108430,10.27960616722703,,
,,109000,,,,0.001,-56.25362249521109,108819,9.862520973191007,127.2,283.4842098236084
279.82398367,126.5,109158,1012,179,609,0.001,-56.62234441695675,108942,9.473665838319112,,
278.87423882,126.1,109620,1016,179,611,0.001,-56.16585120176658,109405,11.231436988975428,,
,,110000,,,,0.001,-55.88579481840134,109787,9.495402980595827,129.6,290.3996191620827
279.34943443,126.2,110128,1020,179,614,0.001,-56.34887904505576,109910,9.449603569216844,,
279.90012802,126.37,110642,1024,179,617,0.001,-56.38986724615097,110422,8.396512970328331,,
,,111000,,,,0.001,-56.2915102223881,110799,10.449421196449094,122.6,268.4925078868866
279.93039920999996,126.35,111134,1028,178,621,0.001,-55.89467896008101,110920,9.55428155394625,,
280.27027523,126.41,111628,1032,179,623,0.001,-56.55043048243369,111412,8.800330292794012,,
,,112000,,,,0.001,-56.44006156921387,111798,10.61738484352827,124.3,273.1827529788017
280.74937184,126.62,112146,1036,178,626,0.001,-56.57572584885817,111928,8.719914434506343,,
280.74786891,126.66,112643,1040,179,629,0.001,-56.55470925569534,112435,8.905418529066928,,
,,113000,,,,0.001,-56.84738665819168,112803,9.183579596438149,121.8,265.8450123310089
280.62095120000004,126.68,113138,1044,178,632,0.001,-56.78290970094742,112927,10.57428192323254,,
280.19064707000007,126.48,113636,1048,179,634,0.001,-56.605863480340865,113425,8.992375354918222,,
,,114000,,,,0.001,-56.791020294715615,113906,10.151338289523947,124.4,275.81111216545105
280.25583128999995,126.36,114121,1052,178,638,,,,,,
280.01906207,126.23,114611,1056,178,640,0.001,-56.52432663714299,114398,9.669522590873655,,
,,115000,,,,0.001,-56.258365138884514,114893,9.227492801604733,126.5,281.70898126363755
279.76799374,126.16,115111,1060,178,644,,,,,,
279.20758961,125.99,115606,1064,178,646,0.001,-56.48607971708653,115395,8.157041345323835,,
,,116000,,,,0.001,-57.00732046274038,115894,9.593940827273583,128.4,285.6845139026642
279.38125591,126.1,116118,1068,178,649,,,,,,
279.47615414000006,126.17,116635,1072,178,651,0.001,-56.59716123342514,116416,8.492281045764685,,
,,117000,,,,0.001,-56.22815012931824,116803,8.876859422773123,126.6,283.33150496482847
279.36877201,126.05,117148,1076,178,654,0.001,-56.277618169784546,116930,9.628862441055418,,
279.55291781999995,126.12,117664,1080,179,657,0.001,-56.56419043907752,117444,8.577470881070278,,
,,118000,,,,0.001,-56.53903579711914,117827,8.941869306933972,129.0,285.8829806089401
279.54217581,126.14,118173,1084,179,660,0.001,-56.77819161048302,117956,10.780895192493764,,
